id,name,release_year,name_year,tmdbid,imdbid
217,"Babysitter, The ",1995,"Babysitter, The 1995",37141,112438
218,Boys on the Side ,1995,Boys on the Side 1995,9382,112571
219,"Cure, The ",1995,"Cure, The 1995",6715,112757
220,Castle Freak ,1995,Castle Freak 1995,18256,112643
222,Circle of Friends ,1995,Circle of Friends 1995,22625,112679
223,Clerks ,1994,Clerks 1994,2292,109445
224,Don Juan DeMarco ,1995,Don Juan DeMarco 1995,1909,112883
225,Disclosure ,1994,Disclosure 1994,8984,109635
226,Dream Man ,1995,Dream Man 1995,61813,112899
227,Drop Zone ,1994,Drop Zone 1994,4954,109676
228,Destiny Turns on the Radio ,1995,Destiny Turns on the Radio 1995,62488,112854
229,Death and the Maiden ,1994,Death and the Maiden 1994,10531,109579
231,Dumb & Dumber ,1994,Dumb & Dumber 1994,8467,109686
232,Eat Drink Man Woman ,1994,Eat Drink Man Woman 1994,10451,111797
233,Exotica ,1994,Exotica 1994,20156,109759
234,Exit to Eden ,1994,Exit to Eden 1994,18395,109758
235,Ed Wood ,1994,Ed Wood 1994,522,109707
236,French Kiss ,1995,French Kiss 1995,397,113117
237,Forget Paris ,1995,Forget Paris 1995,10525,113097
238,Far From Home: The Adventures of Yellow Dog ,1995,Far From Home: The Adventures of Yellow Dog 1995,27985,113028
239,"Goofy Movie, A ",1995,"Goofy Movie, A 1995",15789,113198
240,Hideaway ,1995,Hideaway 1995,27303,113303
241,Fluke ,1995,Fluke 1995,21183,113089
242,Farinelli: il castrato ,1994,Farinelli: il castrato 1994,10954,109771
243,Gordy ,1995,Gordy 1995,47867,113199
244,Gumby: The Movie ,1995,Gumby: The Movie 1995,43475,113234
245,"Glass Shield, The ",1994,"Glass Shield, The 1994",72031,109906
246,Hoop Dreams ,1994,Hoop Dreams 1994,14275,110057
247,Heavenly Creatures ,1994,Heavenly Creatures 1994,1024,110005
248,Houseguest ,1994,Houseguest 1994,17207,110066
249,Immortal Beloved ,1994,Immortal Beloved 1994,13701,110116
251,"Hunted, The ",1995,"Hunted, The 1995",32631,113360
252,I.Q. ,1994,I.Q. 1994,11777,110099
254,Jefferson in Paris ,1995,Jefferson in Paris 1995,87729,113463
256,Junior ,1994,Junior 1994,6280,110216
257,Just Cause ,1995,Just Cause 1995,9061,113501
258,"Kid in King Arthur's Court, A ",1995,"Kid in King Arthur's Court, A 1995",37108,113538
259,Kiss of Death ,1995,Kiss of Death 1995,6071,113552
260,Star Wars: Episode IV - A New Hope ,1977,Star Wars: Episode IV - A New Hope 1977,11,76759
261,Little Women ,1994,Little Women 1994,9587,110367
262,"Little Princess, A ",1995,"Little Princess, A 1995",19101,113670
263,Ladybird Ladybird ,1994,Ladybird Ladybird 1994,49980,110296
264,"Enfer, L' ",1994,"Enfer, L' 1994",17961,109731
265,Like Water for Chocolate ,1992,Like Water for Chocolate 1992,18183,103994
266,Legends of the Fall ,1994,Legends of the Fall 1994,4476,110322
268,Little Odessa ,1994,Little Odessa 1994,47504,110365
269,My Crazy Life ,1993,My Crazy Life 1993,32325,107566
270,Love Affair ,1994,Love Affair 1994,43742,110391
271,Losing Isaiah ,1995,Losing Isaiah 1995,28313,113691
272,"Madness of King George, The ",1994,"Madness of King George, The 1994",11318,110428
273,Mary Shelley's Frankenstein ,1994,Mary Shelley's Frankenstein 1994,3036,109836
274,Man of the House ,1995,Man of the House 1995,40490,113755
275,Mixed Nuts ,1994,Mixed Nuts 1994,24070,110538
276,Milk Money ,1994,Milk Money 1994,8986,110516
277,Miracle on 34th Street ,1994,Miracle on 34th Street 1994,10510,110527
278,Miami Rhapsody ,1995,Miami Rhapsody 1995,17402,113808
279,My Family ,1995,My Family 1995,38722,113896
280,Murder in the First ,1995,Murder in the First 1995,8438,113870
281,Nobody's Fool ,1994,Nobody's Fool 1994,11593,110684
282,Nell ,1994,Nell 1994,1945,110638
283,New Jersey Drive ,1995,New Jersey Drive 1995,39310,113967
285,Beyond Bedlam ,1993,Beyond Bedlam 1993,56428,106402
286,Nemesis 2: Nebula ,1995,Nemesis 2: Nebula 1995,63105,113948
287,Nina Takes a Lover ,1994,Nina Takes a Lover 1994,131957,110671
288,Natural Born Killers ,1994,Natural Born Killers 1994,241,110632
289,Only You ,1994,Only You 1994,9058,110737
290,Once Were Warriors ,1994,Once Were Warriors 1994,527,110729
292,Outbreak ,1995,Outbreak 1995,6950,114069
294,"Perez Family, The ",1995,"Perez Family, The 1995",63020,114113
295,"Pyromaniac's Love Story, A ",1995,"Pyromaniac's Love Story, A 1995",2307,114210
296,Pulp Fiction ,1994,Pulp Fiction 1994,680,110912
297,Panther ,1995,Panther 1995,41478,114084
298,Pushing Hands ,1992,Pushing Hands 1992,25296,105652
299,Priest ,1994,Priest 1994,40156,110889
300,Quiz Show ,1994,Quiz Show 1994,11450,110932
302,Queen Margot ,1994,Queen Margot 1994,10452,110963
303,"Quick and the Dead, The ",1995,"Quick and the Dead, The 1995",12106,114214
304,Roommates ,1995,Roommates 1995,161495,114296
305,Ready to Wear ,1994,Ready to Wear 1994,3586,110907
306,Three Colors: Red ,1994,Three Colors: Red 1994,110,111495
307,Three Colors: Blue ,1993,Three Colors: Blue 1993,108,108394
308,Three Colors: White ,1994,Three Colors: White 1994,109,111507
309,"Red Firecracker, Green Firecracker ",1994,"Red Firecracker, Green Firecracker 1994",159185,110769
310,Rent-a-Kid ,1995,Rent-a-Kid 1995,36357,114268
311,Relative Fear ,1994,Relative Fear 1994,92769,110965
312,Stuart Saves His Family ,1995,Stuart Saves His Family 1995,28033,114571
313,"Swan Princess, The ",1994,"Swan Princess, The 1994",22586,111333
314,"Secret of Roan Inish, The ",1994,"Secret of Roan Inish, The 1994",14334,111112
315,"Specialist, The ",1994,"Specialist, The 1994",2636,111255
316,Stargate ,1994,Stargate 1994,2164,111282
317,"Santa Clause, The ",1994,"Santa Clause, The 1994",11395,111070
318,"Shawshank Redemption, The ",1994,"Shawshank Redemption, The 1994",278,111161
319,Shallow Grave ,1994,Shallow Grave 1994,9905,111149
320,Suture ,1993,Suture 1993,87078,108260
321,Strawberry and Chocolate ,1993,Strawberry and Chocolate 1993,12527,106966
322,Swimming with Sharks ,1995,Swimming with Sharks 1995,20306,114594
324,"Sum of Us, The ",1994,"Sum of Us, The 1994",36614,111309
325,National Lampoon's Senior Trip ,1995,National Lampoon's Senior Trip 1995,27993,113936
326,To Live ,1994,To Live 1994,31439,110081
327,Tank Girl ,1995,Tank Girl 1995,9067,114614
329,Star Trek: Generations ,1994,Star Trek: Generations 1994,193,111280
330,Tales from the Hood ,1995,Tales from the Hood 1995,25066,114609
331,Tom & Viv ,1994,Tom & Viv 1994,46797,111454
332,Village of the Damned ,1995,Village of the Damned 1995,12122,114852
333,Tommy Boy ,1995,Tommy Boy 1995,11381,114694
334,Vanya on 42nd Street ,1994,Vanya on 42nd Street 1994,32636,111590
336,"Walking Dead, The ",1995,"Walking Dead, The 1995",95963,114888
337,What's Eating Gilbert Grape ,1993,What's Eating Gilbert Grape 1993,1587,108550
338,Virtuosity ,1995,Virtuosity 1995,9271,114857
339,While You Were Sleeping ,1995,While You Were Sleeping 1995,2064,114924
340,"War, The ",1994,"War, The 1994",19855,111667
341,Double Happiness ,1994,Double Happiness 1994,60855,109655
342,Muriel's Wedding ,1994,Muriel's Wedding 1994,236,110598
343,"Baby-Sitters Club, The ",1995,"Baby-Sitters Club, The 1995",48287,112435
344,Ace Ventura: Pet Detective ,1994,Ace Ventura: Pet Detective 1994,3049,109040
345,"Adventures of Priscilla, Queen of the Desert, The ",1994,"Adventures of Priscilla, Queen of the Desert, The 1994",2759,109045
346,Backbeat ,1993,Backbeat 1993,12635,106339
347,Bitter Moon ,1992,Bitter Moon 1992,10497,104779
348,Bullets Over Broadway ,1994,Bullets Over Broadway 1994,11382,109348
349,Clear and Present Danger ,1994,Clear and Present Danger 1994,9331,109444
350,"Client, The ",1994,"Client, The 1994",10731,109446
351,"Corrina, Corrina ",1994,"Corrina, Corrina 1994",10464,109484
352,Crooklyn ,1994,Crooklyn 1994,34152,109504
353,"Crow, The ",1994,"Crow, The 1994",9495,109506
354,Cobb ,1994,Cobb 1994,29973,109450
355,"Flintstones, The ",1994,"Flintstones, The 1994",888,109813
356,Forrest Gump ,1994,Forrest Gump 1994,13,109830
357,Four Weddings and a Funeral ,1994,Four Weddings and a Funeral 1994,712,109831
358,Higher Learning ,1995,Higher Learning 1995,16295,113305
359,I Like It Like That ,1994,I Like It Like That 1994,48992,110091
360,I Love Trouble ,1994,I Love Trouble 1994,10879,110093
361,It Could Happen to You ,1994,It Could Happen to You 1994,10660,110167
362,"Jungle Book, The ",1994,"Jungle Book, The 1994",10714,110213
363,"Wonderful, Horrible Life of Leni Riefenstahl, The ",1993,"Wonderful, Horrible Life of Leni Riefenstahl, The 1993",41647,107472
364,"Lion King, The ",1994,"Lion King, The 1994",8587,110357
365,Little Buddha ,1993,Little Buddha 1993,1689,107426
366,Wes Craven's New Nightmare ,1994,Wes Craven's New Nightmare 1994,11596,111686
367,"Mask, The ",1994,"Mask, The 1994",854,110475
368,Maverick ,1994,Maverick 1994,9359,110478
369,Mrs. Parker and the Vicious Circle ,1994,Mrs. Parker and the Vicious Circle 1994,23333,110588
370,Naked Gun 33 1/3: The Final Insult ,1994,Naked Gun 33 1/3: The Final Insult 1994,36593,110622
371,"Paper, The ",1994,"Paper, The 1994",12280,110771
372,Reality Bites ,1994,Reality Bites 1994,2788,110950
373,Red Rock West ,1992,Red Rock West 1992,10427,105226
374,Richie Rich ,1994,Richie Rich 1994,11011,110989
375,Safe Passage ,1994,Safe Passage 1994,49803,111054
376,"River Wild, The ",1994,"River Wild, The 1994",8987,110997
377,Speed ,1994,Speed 1994,1637,111257
378,Speechless ,1994,Speechless 1994,15128,111256
379,Timecop ,1994,Timecop 1994,8831,111438
380,True Lies ,1994,True Lies 1994,36955,111503
381,When a Man Loves a Woman ,1994,When a Man Loves a Woman 1994,10449,111693
382,Wolf ,1994,Wolf 1994,10395,111742
383,Wyatt Earp ,1994,Wyatt Earp 1994,12160,111756
384,Bad Company ,1995,Bad Company 1995,40480,112443
385,"Man of No Importance, A ",1994,"Man of No Importance, A 1994",52038,110455
386,S.F.W. ,1994,S.F.W. 1994,29444,111048
387,"Low Down Dirty Shame, A ",1994,"Low Down Dirty Shame, A 1994",26352,110399
388,Boys Life ,1995,Boys Life 1995,39953,112570
389,"Colonel Chabert, Le ",1994,"Colonel Chabert, Le 1994",41580,109454
390,Faster Pussycat! Kill! Kill! ,1965,Faster Pussycat! Kill! Kill! 1965,315,59170
391,Jason's Lyric ,1994,Jason's Lyric 1994,22067,110186
392,"Secret Adventures of Tom Thumb, The ",1993,"Secret Adventures of Tom Thumb, The 1993",18242,108069
393,Street Fighter ,1994,Street Fighter 1994,11667,111301
394,Coldblooded ,1995,Coldblooded 1995,32502,112702
395,Desert Winds ,1995,Desert Winds 1995,267188,112849
396,Fall Time ,1995,Fall Time 1995,28732,113014
397,"Fear, The ",1995,"Fear, The 1995",75555,113043
398,Frank and Ollie ,1995,Frank and Ollie 1995,42981,113104
399,Girl in the Cadillac ,1995,Girl in the Cadillac 1995,278939,113173
400,Homage ,1995,Homage 1995,291731,113319
401,Mirage ,1995,Mirage 1995,226229,113827
402,Open Season ,1996,Open Season 1996,203119,114047
403,Two Crimes ,1995,Two Crimes 1995,172923,112889
404,Brother Minister: The Assassination of Malcolm X ,1994,Brother Minister: The Assassination of Malcolm X 1994,316098,109339
405,Highlander III: The Sorcerer ,1994,Highlander III: The Sorcerer 1994,8011,110027
406,Federal Hill ,1994,Federal Hill 1994,171857,109785
407,In the Mouth of Madness ,1995,In the Mouth of Madness 1995,2654,113409
408,8 Seconds ,1994,8 Seconds 1994,18069,109021
409,Above the Rim ,1994,Above the Rim 1994,19092,109035
410,Addams Family Values ,1993,Addams Family Values 1993,2758,106220
412,"Age of Innocence, The ",1993,"Age of Innocence, The 1993",10436,106226
413,Airheads ,1994,Airheads 1994,13595,109068
414,"Air Up There, The ",1994,"Air Up There, The 1994",46094,109067
415,Another Stakeout ,1993,Another Stakeout 1993,9409,106292
416,Bad Girls ,1994,Bad Girls 1994,11853,109198
417,Barcelona ,1994,Barcelona 1994,16771,109219
418,Being Human ,1993,Being Human 1993,46924,106379
419,"Beverly Hillbillies, The ",1993,"Beverly Hillbillies, The 1993",11041,106400
420,Beverly Hills Cop III ,1994,Beverly Hills Cop III 1994,306,109254
421,Black Beauty ,1994,Black Beauty 1994,14522,109279
422,Blink ,1994,Blink 1994,26203,109297
423,Blown Away ,1994,Blown Away 1994,178,109303
424,Blue Chips ,1994,Blue Chips 1994,19819,109305
425,Blue Sky ,1994,Blue Sky 1994,57834,109306
426,Body Snatchers ,1993,Body Snatchers 1993,4722,106452
427,Boxing Helena ,1993,Boxing Helena 1993,18215,106471
428,"Bronx Tale, A ",1993,"Bronx Tale, A 1993",1607,106489
429,Cabin Boy ,1994,Cabin Boy 1994,26391,109361
430,Calendar Girl ,1993,Calendar Girl 1993,117553,106505
431,Carlito's Way ,1993,Carlito's Way 1993,6075,106519
432,City Slickers II: The Legend of Curly's Gold ,1994,City Slickers II: The Legend of Curly's Gold 1994,11310,109439
433,Clean Slate ,1994,Clean Slate 1994,18658,109443
434,Cliffhanger ,1993,Cliffhanger 1993,9350,106582
435,Coneheads ,1993,Coneheads 1993,9612,106598
436,Color of Night ,1994,Color of Night 1994,2124,109456
437,Cops and Robbersons ,1994,Cops and Robbersons 1994,26261,109480
438,"Cowboy Way, The ",1994,"Cowboy Way, The 1994",19176,109493
439,Dangerous Game ,1993,Dangerous Game 1993,49299,106660
440,Dave ,1993,Dave 1993,11566,106673
441,Dazed and Confused ,1993,Dazed and Confused 1993,9571,106677
442,Demolition Man ,1993,Demolition Man 1993,9739,106697
443,"Endless Summer 2, The ",1994,"Endless Summer 2, The 1994",24257,109729
444,Even Cowgirls Get the Blues ,1993,Even Cowgirls Get the Blues 1993,34444,106834
445,Fatal Instinct ,1993,Fatal Instinct 1993,26141,106873
446,Farewell My Concubine ,1993,Farewell My Concubine 1993,10997,106332
447,"Favor, The ",1994,"Favor, The 1994",50463,109783
448,Fearless ,1993,Fearless 1993,10443,106881
450,With Honors ,1994,With Honors 1994,16297,111732
451,Flesh and Bone ,1993,Flesh and Bone 1993,18551,106926
452,Widows' Peak ,1994,Widows' Peak 1994,25440,111712
453,For Love or Money ,1993,For Love or Money 1993,9024,106941
454,"Firm, The ",1993,"Firm, The 1993",37233,106918
455,Free Willy ,1993,Free Willy 1993,1634,106965
456,Fresh ,1994,Fresh 1994,13815,109842
457,"Fugitive, The ",1993,"Fugitive, The 1993",5503,106977
458,Geronimo: An American Legend ,1993,Geronimo: An American Legend 1993,35588,107004
