,num,id,name,year,name_year,tmdbid,imdbid,budget,revenue,collection,popularity,cast,dir
10,10,11,"American President, The ",1995,"American President, The 1995",9087,112346,62000000,107879496,,0.442799,"[<Cast 'Michael Douglas' as 'Andrew Shepherd'>, <Cast 'Annette Bening' as 'Sydney Ellen Wade'>, <Cast 'Michael J. Fox' as 'Lewis Rothschild'>, <Cast 'Martin Sheen' as 'A.J. MacInerney'>, <Cast 'Anna Deavere Smith' as 'Robin McCall'>, <Cast 'Shawna Waldron' as 'Lucy Shepherd'>, <Cast 'Samantha Mathis' as 'Janie Basdin'>, <Cast 'David Paymer' as 'Leon Kodak'>, <Cast 'Richard Dreyfuss' as 'Senator Bob Rumson'>, <Cast 'Nina Siemaszko' as 'Beth Wade'>, <Cast 'Wendie Malick' as 'Susan Sloan'>, <Cast 'Beau Billingslea' as 'Agent Cooper'>, <Cast 'Gail Strickland' as 'Esther MacInerney'>, <Cast 'Joshua Malina' as 'David'>, <Cast 'Clement von Franckenstein' as 'President René Jean D'Astier'>, <Cast 'John Mahoney' as 'Leo Solomon'>, <Cast 'John Mahon' as 'Chairman of the Joint Chiefs'>, <Cast 'Gabriel Jarret' as 'Jeff'>]","<Crew 'Rob Reiner','Director'>"
11,11,12,Dracula: Dead and Loving It ,1995,Dracula: Dead and Loving It 1995,12110,112896,0,0,,0.356859,"[<Cast 'Leslie Nielsen' as 'Count Dracula'>, <Cast 'Mel Brooks' as 'Prof. Abraham Van Helsing'>, <Cast 'Amy Yasbeck' as 'Mina Seward'>, <Cast 'Peter MacNicol' as 'Thomas Renfield'>, <Cast 'Lysette Anthony' as 'Lucy Westenra'>, <Cast 'Harvey Korman' as 'Dr. Jack Seward'>, <Cast 'Steven Weber' as 'Jonathan Harker'>, <Cast 'Mark Blankfield' as 'Martin'>, <Cast 'Megan Cavanagh' as 'Essie'>, <Cast 'Gregg Binkley' as 'Woodbridge'>, <Cast 'Anne Bancroft' as 'Madame Ouspenskaya'>]","<Crew 'Mel Brooks','Director'>"
12,12,13,Balto ,1995,Balto 1995,21032,112453,0,0,<Collection 'Balto Collection'>,0.685908,"[<Cast 'Kevin Bacon' as 'Balto (voice)'>, <Cast 'Bob Hoskins' as 'Boris the Goose (voice)'>, <Cast 'Bridget Fonda' as 'Jenna (voice)'>, <Cast 'Jim Cummings' as 'Steele the Sled Dog (voice)'>, <Cast 'Phil Collins' as 'Muk and Luk (voice)'>, <Cast 'Juliette Brewer' as 'Young Rosy (voice)'>, <Cast 'Jack Angel' as 'Nikki (voice)'>, <Cast 'Danny Mann' as 'Kaltag (voice)'>, <Cast 'Robbie Rist' as 'Star (voice)'>, <Cast 'Sandra Dickinson' as 'Dixie / Sylvie (voice)'>, <Cast 'Frank Welker' as 'Grizzly Bear (voice)'>, <Cast 'Miriam Margolyes' as 'Grandma Rosy'>, <Cast 'Lola Bates-Campbell' as 'Rosie's granddaughter'>]","<Crew 'Simon Wells','Director'>"
13,13,14,Nixon ,1995,Nixon 1995,10858,113987,44000000,13681765,,0.424878,"[<Cast 'Anthony Hopkins' as 'Richard Nixon'>, <Cast 'Joan Allen' as 'Pat Nixon'>, <Cast 'J. T. Walsh' as 'John Ehrlichman'>, <Cast 'Paul Sorvino' as 'Henry Kissinger'>, <Cast 'Ed Harris' as 'E. Howard Hunt'>, <Cast 'Bob Hoskins' as 'J. Edgar Hoover'>, <Cast 'E.G. Marshall' as 'John Mitchell'>, <Cast 'Powers Boothe' as 'Alexander Haig'>, <Cast 'David Paymer' as 'Ron Ziegler'>, <Cast 'David Hyde Pierce' as 'John Dean'>, <Cast 'Mary Steenburgen' as 'Hannah Nixon'>, <Cast 'James Woods' as 'H.R. Haldeman'>, <Cast 'Brian Bedford' as 'Clyde Tolson'>, <Cast 'Kevin Dunn' as 'Charles Colson'>, <Cast 'Fyvush Finkel' as 'Murray Chotiner'>, <Cast 'Annabeth Gish' as 'Julie Nixon Eisenhower'>, <Cast 'Larry Hagman' as '""Jack Jones""'>, <Cast 'Madeline Kahn' as 'Martha Mitchell'>, <Cast 'Dan Hedaya' as 'Trini Cardoza'>, <Cast 'Bridgette Wilson' as 'Sandy'>]","<Crew 'Oliver Stone','Director'>"
14,14,15,Cutthroat Island ,1995,Cutthroat Island 1995,1408,112760,98000000,18517322,,0.444295,"[<Cast 'Geena Davis' as 'Morgan Adams'>, <Cast 'Matthew Modine' as 'William Shaw'>, <Cast 'Frank Langella' as 'Dawg'>, <Cast 'Maury Chaykin' as 'John Reed'>, <Cast 'Patrick Malahide' as 'Ainstee'>, <Cast 'Stan Shaw' as 'Glasspoole'>, <Cast 'Rex Linn' as 'Mr. Blair'>, <Cast 'Paul Dillon' as 'Snelgrave'>]","<Crew 'Renny Harlin','Director'>"
15,15,16,Casino ,1995,Casino 1995,524,112641,52000000,116112375,,1.850453,"[<Cast 'Robert De Niro' as 'Sam 'Ace' Rothstein'>, <Cast 'Sharon Stone' as 'Ginger McKenna'>, <Cast 'Joe Pesci' as 'Nicky Santoro'>, <Cast 'James Woods' as 'Lester Diamond'>, <Cast 'Don Rickles' as 'Billy Sherbert'>, <Cast 'Alan King' as 'Andy Stone'>, <Cast 'Kevin Pollak' as 'Phillip Green'>, <Cast 'Pasquale Cajano' as 'Remo Gaggi'>, <Cast 'L.Q. Jones' as 'Pat Webb'>, <Cast 'Dick Smothers' as 'Sénateur'>, <Cast 'Frank Vincent' as 'Frank Marino'>, <Cast 'Oscar Goodman' as 'Oscar Goodman'>, <Cast 'Richard Riehle' as 'Charlie Clark'>, <Cast 'Catherine Scorsese' as 'Mme Piscano'>, <Cast 'Vinny Vella' as 'Artie Piscano'>, <Cast 'Nobu Matsuhisa' as 'Ichikawa'>, <Cast 'Erika von Tagen' as 'Amy'>, <Cast 'Nick Mazzola' as 'Black Jack-Groupier'>, <Cast 'David Rose' as 'David'>, <Cast 'John Bloom' as 'Don Wood'>]","<Crew 'Martin Scorsese','Director'>"
16,16,17,Sense and Sensibility ,1995,Sense and Sensibility 1995,4584,114388,16500000,135000000,,0.674783,"[<Cast 'Kate Winslet' as 'Marianne Dashwood'>, <Cast 'Emma Thompson' as 'Elinor Dashwood'>, <Cast 'Hugh Grant' as 'Edward Ferrars'>, <Cast 'Tom Wilkinson' as 'Mr. Dashwood'>, <Cast 'Alan Rickman' as 'Col. Christopher Brandon'>, <Cast 'Imogen Stubbs' as 'Lucy Steele'>, <Cast 'Greg Wise' as 'John Willoughby'>, <Cast 'Hugh Laurie' as 'Mr. Palmer'>, <Cast 'Imelda Staunton' as 'Charlotte Jennings Palmer'>, <Cast 'Robert Hardy' as 'Sir John Middleton'>, <Cast 'Oliver Ford Davies' as 'Doctor Harris'>, <Cast 'James Fleet' as 'John Dashwood'>, <Cast 'Harriet Walter' as 'Fanny Ferrars Dashwood'>, <Cast 'Gemma Jones' as 'Mrs. Dashwood'>, <Cast 'Emilie François' as 'Margaret Dashwood'>, <Cast 'Elizabeth Spriggs' as 'Mrs. Jennings'>]","<Crew 'Ang Lee','Director'>"
17,17,18,Four Rooms ,1995,Four Rooms 1995,5,113101,4000000,4300000,,1.150995,"[<Cast 'Quentin Tarantino' as 'Chester Rush'>, <Cast 'Antonio Banderas' as 'Man'>, <Cast 'Jennifer Beals' as 'Angela'>, <Cast 'Sammi Davis' as 'Jezebel'>, <Cast 'Amanda de Cadenet' as 'Diana'>, <Cast 'Valeria Golino' as 'Athena'>, <Cast 'Lili Taylor' as 'Raven'>, <Cast 'Patricia Vonne' as 'Corpse'>, <Cast 'Madonna' as 'Elspeth'>, <Cast 'Bruce Willis' as 'Leo'>, <Cast 'Lawrence Bender' as 'Long Hair Yuppy Scum'>, <Cast 'Tim Roth' as 'Ted the Bellhop'>, <Cast 'Ione Skye' as 'Eva'>, <Cast 'Alicia Witt' as 'Kiva'>, <Cast 'David Proval' as 'Siegfried'>, <Cast 'Lana McKissack' as 'Sarah'>, <Cast 'Marisa Tomei' as 'Margaret'>, <Cast 'Tamlyn Tomita' as 'Wife'>, <Cast 'Kathy Griffin' as 'Betty'>, <Cast 'Danny Verduzco' as 'Juancho'>, <Cast 'Salma Hayek' as 'TV Dancing Girl'>, <Cast 'Paul Calderon' as 'Norman'>, <Cast 'Kimberly Blair' as 'Hooker'>, <Cast 'Marc Lawrence' as 'Sam the Bellhop'>]","<Crew 'Combustible Edison','Original Music Composer'>"
18,18,19,Ace Ventura: When Nature Calls ,1995,Ace Ventura: When Nature Calls 1995,9273,112281,30000000,212385533,<Collection 'Ace Ventura Collection'>,1.522666,"[<Cast 'Jim Carrey' as 'Ace Ventura'>, <Cast 'Ian McNeice' as 'Fulton Greenwall'>, <Cast 'Simon Callow' as 'Vincent Cadby'>, <Cast 'Maynard Eziashi' as 'Ouda'>, <Cast 'Bob Gunton' as 'Burton Quinn'>, <Cast 'Sophie Okonedo' as 'The Wachati Princess'>, <Cast 'Tommy Davidson' as 'The Tiny Warrior'>, <Cast 'Adewale Akinnuoye-Agbaje' as 'Hitu'>, <Cast 'Danny D. Daniels' as 'Wachootoo Witch Doctor'>, <Cast 'Sam Motoana Phillips' as 'Wachootoo Chief'>, <Cast 'Damon Standifer' as 'Wachati Chief'>, <Cast 'Andrew Steel' as 'Mick Katie'>, <Cast 'Bruce Spence' as 'Gahjii'>, <Cast 'Tom Grunke' as 'Derrick McCane'>, <Cast 'Arsenio 'Sonny' Trinidad' as 'Ashram Monk'>]","<Crew 'Steve Oedekerk','Director'>"
19,19,20,Money Train ,1995,Money Train 1995,11517,113845,60000000,35431113,,0.611139,"[<Cast 'Wesley Snipes' as 'John'>, <Cast 'Woody Harrelson' as 'Charlie'>, <Cast 'Jennifer Lopez' as 'Grace Santiago'>, <Cast 'Robert Blake' as 'Donald Patterson'>, <Cast 'Chris Cooper' as 'Torch'>, <Cast 'Joe Grifasi' as 'Riley'>, <Cast 'Scott Sowers' as 'Mr. Brown'>, <Cast 'Skipp Sudduth' as 'Kowalski'>, <Cast 'Aida Turturro' as 'Woman on Platform'>, <Cast 'Vincent Pastore' as 'Gambler'>, <Cast 'Enrico Colantoni' as 'Dooley'>, <Cast 'Bill Nunn' as 'Crash Train Motorman'>, <Cast 'Katie Gill' as 'Crosswalk Child'>]","<Crew 'Joseph Ruben','Director'>"
20,20,21,Get Shorty ,1995,Get Shorty 1995,8012,113161,30250000,72021008,<Collection 'Chili Palmer Collection'>,1.298293,"[<Cast 'John Travolta' as 'Chili Palmer'>, <Cast 'Gene Hackman' as 'Harry Zimm'>, <Cast 'Rene Russo' as 'Karen Flores'>, <Cast 'Danny DeVito' as 'Martin Weir'>, <Cast 'Dennis Farina' as 'Ray 'Bones' Barboni'>, <Cast 'Delroy Lindo' as 'Bo Catlett'>, <Cast 'James Gandolfini' as 'Bear'>, <Cast 'Jon Gries' as 'Ronnie Wingate'>, <Cast 'Renee Props' as 'Nicki'>, <Cast 'David Paymer' as 'Leo Devoe'>, <Cast 'Martin Ferrero' as 'Tommy Carlo'>, <Cast 'Miguel Sandoval' as 'Mr. Escobar'>, <Cast 'Jacob Vargas' as 'Yayo Portillo'>, <Cast 'Bobby Slayton' as 'Dick Allen'>, <Cast 'Linda Hart' as 'Fay Devoe'>, <Cast 'Jeffrey J. Stephen' as 'Bones' Buddy (as Jeffrey J. Stephan)'>]","<Crew 'Barry Sonnenfeld','Director'>"
21,21,22,Copycat ,1995,Copycat 1995,1710,112722,0,0,,0.463497,"[<Cast 'Sigourney Weaver' as 'Helen Hudson'>, <Cast 'Holly Hunter' as 'M.J. Monahan'>, <Cast 'Will Patton' as 'Nico Letti'>, <Cast 'William McNamara' as 'Peter Foley'>, <Cast 'Harry Connick Jr.' as 'Doryll Lee Cullum'>, <Cast 'J.E. Freeman' as 'Lt. Quinn'>, <Cast 'Dermot Mulroney' as 'Ruben Goetz'>, <Cast 'John Rothman' as 'Andy'>, <Cast 'Shannon O'Hurley' as 'Susan Schiffer'>, <Cast 'Bob Greene' as 'Pachulski'>, <Cast 'Tony Haney' as 'Kerby'>, <Cast 'Danny Kovacs' as 'Kostas'>, <Cast 'Tahmus Rounds' as 'Landis'>, <Cast 'Scott Devenney' as 'Cop #1'>, <Cast 'David Michael Silverman' as 'Mike'>]","<Crew 'Mark Tarlov','Executive Producer'>"
22,22,23,Assassins ,1995,Assassins 1995,9691,112401,50000000,30303072,,0.702635,"[<Cast 'Sylvester Stallone' as 'Robert Rath'>, <Cast 'Antonio Banderas' as 'Miguel Bain'>, <Cast 'Julianne Moore' as 'Electra'>, <Cast 'Anatoli Davydov' as 'Nicolai Tashlinkov'>, <Cast 'Muse Watson' as 'Ketcham'>, <Cast 'Steve Kahan' as 'Alan Branch (as Stephen Kahan)'>, <Cast 'Kelly Rowan' as 'Jennifer, Electra's Neighbor'>, <Cast 'Reed Diamond' as 'Bob'>, <Cast 'Kai Wulff' as 'Remy'>, <Cast 'Kerry Skalsky' as 'Buyer with Remy'>, <Cast 'James Douglas Haskins' as 'Buyer with Remy'>, <Cast 'Stephen Liska' as 'Cop'>, <Cast 'John Harms' as 'Cop'>, <Cast 'Edward J. Rosen' as 'Cemetery Caretaker'>, <Cast 'Christina Orchid' as 'Dowager'>, <Cast 'Choco Orta' as 'Cementary woman'>]","<Crew 'Marion Dougherty','Casting'>"
23,23,24,Powder ,1995,Powder 1995,12665,114168,0,0,,0.3433,"[<Cast 'Mary Steenburgen' as 'Jessie Caldwell'>, <Cast 'Sean Patrick Flanery' as 'Jeremy 'Powder' Reed'>, <Cast 'Lance Henriksen' as 'Sheriff Doug Barnum'>, <Cast 'Jeff Goldblum' as 'Donald Ripley'>, <Cast 'Brandon Smith' as 'Deputy Harley Duncan'>]","<Crew 'Victor Salva','Director'>"
24,24,25,Leaving Las Vegas ,1995,Leaving Las Vegas 1995,451,113627,3600000,49800000,,0.895383,"[<Cast 'Nicolas Cage' as 'Ben Sanderson'>, <Cast 'Elisabeth Shue' as 'Sera'>, <Cast 'Julian Sands' as 'Yuri'>, <Cast 'Richard Lewis' as 'Peter'>, <Cast 'Steven Weber' as 'Marc Nussbaum'>, <Cast 'Kim Adams' as 'Sheila'>, <Cast 'Emily Procter' as 'Debbie'>, <Cast 'Stuart Regen' as 'Man At Bar'>, <Cast 'Valeria Golino' as 'Terri'>, <Cast 'Graham Beckel' as 'L.A. Bartender'>, <Cast 'Mariska Hargitay' as 'Hooker at bar'>, <Cast 'Laurie Metcalf' as 'Landlady'>, <Cast 'Shawnee Smith' as 'Biker Girl'>]","<Crew 'Mike Figgis','Director'>"
